# level 1, in half time (90bpm)
3000,0
3667,0
4333,0
5000,1
5667,0
6333,0
7000,0
7667,1
8333,0
9000,0
9667,0
10333,1
11000,0
11667,0
12333,0
13000,1
13667,0
14333,0
15000,0
15667,1
16333,0
17000,0
17667,0
18333,1
19000,0
19667,0
20333,0
21000,1
21667,0
22333,0
23000,0
23667,1
24333,0
25000,0
25667,0
26333,1
27000,0
27667,0
28333,0
29000,1
29667,0
30333,0
31000,0
31667,1
32333,0
33000,0
33667,0
34333,1
35000,0
35667,0
36333,0
37000,1
37667,0
38333,0
39000,0
39667,1
40333,0
41000,0
41667,0
42333,1
43000,0
43667,0
44333,0
45000,1
45667,0
46333,0
47000,0
47667,1
48333,0
49000,0
49667,0
50333,1
51000,0
51667,0
52333,0
53000,1
53667,0
54333,0
55000,0
55667,1
56333,0
57000,0
57667,0
58333,1
59000,0
59667,0
60333,0
61000,1
61667,0
62333,0
63000,0
63667,1
64333,0
65000,0
65667,0
66333,1
67000,0
67667,0
68333,0
69000,1
69667,0
70333,0
71000,0
71667,1
72333,0
73000,0
73667,0
74333,1
75000,0
75667,0
76333,0
77000,1
77667,0
78333,0
79000,0
79667,1
80333,0
81000,0
81667,0
82333,1
83000,0
83667,0
84333,0
85000,1
85667,0
86333,0
87000,0
87667,1
88333,0
89000,0
89667,0
90333,1
91000,0
91667,0
92333,0
93000,1
