#level 2, normal time (180bpm)
3000,0
3333,0
3667,0
4000,0
4167,1
4333,1
4667,1
5000,1
5333,1
5500,1
5667,0
6000,0
6333,0
6667,0
6833,1
7000,1
7333,1
7667,1
8000,1
8167,1
8333,0
8667,0
9000,0
9333,0
9500,1
9667,1
10000,1
10333,1
10667,1
10833,1
11000,0
11333,0
11667,0
12000,0
12167,1
12333,1
12667,1
13000,1
13333,1
13500,1
13667,0
14000,0
14333,0
14667,0
14833,1
15000,1
15333,1
15667,1
16000,1
16167,1
16333,0
16667,0
17000,0
17333,0
17500,1
17667,1
18000,1
18333,1
18667,1
18833,1
19000,0
19333,0
19667,0
20000,0
20167,1
20333,1
20667,1
21000,1
21333,1
21500,1
21667,0
22000,0
22333,0
22667,0
22833,1
23000,1
23333,1
23667,1
24000,1
24167,1
24333,0
24667,0
25000,0
25333,0
25500,1
25667,1
26000,1
26333,1
26667,1
26833,1
27000,0
27333,0
27667,0
28000,0
28167,1
28333,1
28667,1
29000,1
29333,1
29500,1
29667,0
30000,0
30333,0
30667,0
30833,1
31000,1
31333,1
31667,1
32000,1
32167,1
32333,0
32667,0
33000,0
33333,0
33500,1
33667,1
34000,1
34333,1
34667,1
34833,1
35000,0
35333,0
35667,0
36000,0
36167,1
36333,1
36667,1
37000,1
37333,1
37500,1
37667,0
38000,0
38333,0
38667,0
38833,1
39000,1
39333,1
39667,1
40000,1
40167,1
40333,0
40667,0
41000,0
41333,0
41500,1
41667,1
42000,1
42333,1
42667,1
42833,1
43000,0
43333,0
43667,0
44000,0
44167,1
44333,1
44667,1
45000,1
45333,1
45500,1
45667,0
46000,0
46333,0
46667,0
46833,1
47000,1
47333,1
47667,1
48000,1
48167,1
48333,0
48667,0
49000,0
49333,0
49500,1
49667,1
50000,1
50333,1
50667,1
50833,1
51000,0
51333,0
51667,0
52000,0
52167,1
52333,1
52667,1
53000,1
53333,1
53500,1
53667,0
54000,0
54333,0
54667,0
54833,1
55000,1
55333,1
55667,1
56000,1
56167,1
56333,0
56667,0
57000,0
57333,0
57500,1
57667,1
58000,1
58333,1
58667,1
58833,1
59000,0
59333,0
59667,0
60000,0
60167,1
60333,1
60667,1
61000,1
61333,1
61500,1
61667,0
62000,0
62333,0
62667,0
62833,1
63000,1
63333,1
63667,1
64000,1
64167,1
64333,0
64667,0
65000,0
65333,0
65500,1
65667,1
66000,1
66333,1
66667,1
66833,1
67000,0
67333,0
67667,0
68000,0
68167,1
68333,1
68667,1
69000,1
69333,1
69500,1
69667,0
70000,0
70333,0
70667,0
70833,1
71000,1
71333,1
71667,1
72000,1
72167,1
72333,0
72667,0
73000,0
73333,0
73500,1
73667,1
74000,1
74333,1
74667,1
74833,1
75000,0
75333,0
75667,0
76000,0
76167,1
76333,1
76667,1
77000,1
77333,1
77500,1
77667,0
78000,0
78333,0
78667,0
78833,1
79000,1
79333,1
79667,1
80000,1
80167,1
80333,0
80667,0
81000,0
81333,0
81500,1
81667,1
82000,1
82333,1
82667,1
82833,1
83000,0
83333,0
83667,0
84000,0
84167,1
84333,1
84667,1
85000,1
85333,1
85500,1
85667,0
86000,0
86333,0
86667,0
86833,1
87000,1
87333,1
87667,1
88000,1
88167,1
88333,0
88667,0
89000,0
89333,0
89500,1
89667,1
90000,1
90333,1
90667,1
90833,1
91000,0
91333,0
91667,0
92000,0
92167,1
92333,1
92667,1
93000,1
